2025-02-17 12:53:18 UTC | CORE | INFO | (pkg/util/log/log.go:840 in func1) | Starting to load the configuration
2025-02-17 12:53:18 UTC | CORE | INFO | (pkg/util/log/log.go:840 in func1) | Loading proxy settings
2025-02-17 12:53:18 UTC | CORE | INFO | (pkg/util/log/log.go:840 in func1) | Starting to resolve secrets
2025-02-17 12:53:18 UTC | CORE | WARN | (pkg/util/log/log.go:885 in func1) | Agent configuration relax permissions constraint on the secret backend cmd, Group can read and exec
2025-02-17 12:53:18 UTC | CORE | INFO | (pkg/util/log/log.go:840 in func1) | Finished resolving secrets
2025-02-17 12:53:18 UTC | CORE | INFO | (pkg/util/log/log.go:845 in func1) | Agent did not find PodResources socket at unix:///var/lib/kubelet/pod-resources/kubelet.sock
2025-02-17 12:53:18 UTC | CORE | INFO | (pkg/util/log/log.go:845 in func1) | 3 Features detected from environment: kubernetes,kube_orchestratorexplorer,docker
2025-02-17 12:53:18 UTC | CORE | INFO | (pkg/runtime/runtime.go:28 in func1) | runtime: set GOMAXPROCS to: 2
2025-02-17 12:53:18 UTC | CORE | INFO | (pkg/process/metadata/workloadmeta/extractor.go:84 in NewWorkloadMetaExtractor) | Instantiating a new WorkloadMetaExtractor
2025-02-17 12:53:18 UTC | CORE | INFO | (comp/core/tagger/impl/tagger.go:124 in NewComponent) | TaggerClient is created, defaultTagger type:  *taggerimpl.localTagger
2025-02-17 12:53:18 UTC | CORE | INFO | (pkg/util/kubernetes/kubelet/kubelet_client.go:289 in checkKubeletConnection) | Successful configuration found for Kubelet, using URL: https://192.168.5.15:10250
2025-02-17 12:53:18 UTC | CORE | INFO | (comp/forwarder/defaultforwarder/default_forwarder.go:264 in NewDefaultForwarder) | Retry queue storage on disk is disabled
2025-02-17 12:53:20 UTC | CORE | INFO | (pkg/util/containers/metrics/provider/registry.go:102 in collectorDiscovery) | Container metrics provider discovery process finished
2025-02-17 12:53:20 UTC | CORE | INFO | (pkg/api/security/security.go:194 in getClusterAgentAuthToken) | Using configured cluster_agent.auth_token
2025-02-17 12:53:20 UTC | CORE | INFO | (comp/forwarder/defaultforwarder/default_forwarder.go:264 in NewDefaultForwarder) | Retry queue storage on disk is disabled
2025-02-17 12:53:20 UTC | CORE | INFO | (pkg/aggregator/demultiplexer.go:232 in getDogStatsDWorkerAndPipelineCount) | Dogstatsd workers and pipelines count:  2  workers,  1  pipelines
2025-02-17 12:53:20 UTC | CORE | INFO | (pkg/aggregator/demultiplexer.go:150 in GetDogStatsDWorkerAndPipelineCount) | Dogstatsd configured to run with 2 workers and 1 pipelines
2025-02-17 12:53:20 UTC | CORE | INFO | (pkg/aggregator/time_sampler.go:54 in NewTimeSampler) | Creating TimeSampler #0
2025-02-17 12:53:20 UTC | CORE | INFO | (pkg/config/setup/config.go:2052 in LoadCustom) | Starting to load the configuration
2025-02-17 12:53:20 UTC | CORE | INFO | (pkg/api/security/security.go:142 in fetchAuthToken) | [/omnibus/src/datadog-agent/src/github.com/DataDog/datadog-agent/pkg/api/util/util.go:108] Creating a new authentication token
2025-02-17 12:53:20 UTC | CORE | INFO | (pkg/api/security/security.go:241 in saveAuthToken) | Saving a new authentication token in /etc/datadog-agent/auth/token
2025-02-17 12:53:20 UTC | CORE | INFO | (pkg/api/security/security.go:256 in saveAuthToken) | Wrote auth token in /etc/datadog-agent/auth/token
2025-02-17 12:53:20 UTC | CORE | INFO | (pkg/api/security/security.go:155 in fetchAuthToken) | Saved a new authentication token to /etc/datadog-agent/auth/token
2025-02-17 12:53:20 UTC | CORE | WARN | (pkg/api/security/cert/cert_getter.go:34 in GetCertFilepath) | IPC cert/key created or retrieved next to auth_token_file_path location: /etc/datadog-agent/auth/ipc_cert.pem
2025-02-17 12:53:20 UTC | CORE | INFO | (pkg/api/security/cert/cert_getter.go:59 in fetchAgentIPCCert) | [/omnibus/src/datadog-agent/src/github.com/DataDog/datadog-agent/pkg/api/util/util.go:112] Creating a new IPC certificate
2025-02-17 12:53:20 UTC | CORE | INFO | (pkg/api/security/cert/cert_getter.go:107 in saveIPCCertKey) | Saving a new IPC certificate/key pair in /etc/datadog-agent/auth/ipc_cert.pem
2025-02-17 12:53:20 UTC | CORE | INFO | (pkg/api/security/cert/cert_getter.go:126 in saveIPCCertKey) | Wrote IPC certificate/key pair in /etc/datadog-agent/auth/ipc_cert.pem
